Date,Product,Category,Quantity,Unit_Price,Sales
2025-01-01,Wireless Bluetooth Mouse,Electronics,3,23.75,72.93
2025-01-01,Smart Fitness Watch,Electronics,4,76.5,297.39
2025-01-01,Smart Fitness Watch,Electronics,2,89.25,177.06
2025-01-02,Stainless Steel Water Bottle,Home & Kitchen,2,15.0,29.39
2025-01-02,Casual Canvas Sneakers,Fashion,1,49.5,48.9
2025-01-03,Stainless Steel Water Bottle,Home & Kitchen,4,15.0,57.7
2025-01-03,Air Fryer 4L,Home & Kitchen,2,85.5,174.45
2025-01-04,Cotton Crewneck T-Shirt,Fashion,5,18.0,87.49
2025-01-04,Automatic Drip Coffee Maker,Home & Kitchen,4,67.5,274.58
2025-01-05,Classic Leather Belt,Fashion,5,23.1,113.16
2025-01-06,Mechanical Keyboard,Electronics,1,65.0,64.13
2025-01-06,Casual Canvas Sneakers,Fashion,2,55.0,115.37
2025-01-07,Premium Extra Virgin Olive Oil,Groceries,3,23.1,70.4
2025-01-07,Organic Green Tea Box,Groceries,3,11.4,34.64
2025-01-07,Wireless Bluetooth Mouse,Electronics,1,23.75,24.74
2025-01-08,Noise-Cancelling Headphones,Electronics,4,120.0,488.14
2025-01-08,Portable External SSD 1TB,Electronics,1,115.5,120.06
2025-01-09,Stainless Steel Water Bottle,Home & Kitchen,3,15.0,43.45
2025-01-09,Automatic Drip Coffee Maker,Home & Kitchen,1,75.0,78.8
2025-01-09,Slim Fit Denim Jeans,Fashion,3,47.25,150.55
2025-01-10,Smart Fitness Watch,Electronics,3,76.5,243.66
2025-01-10,Automatic Drip Coffee Maker,Home & Kitchen,1,78.75,83.75
2025-01-10,Portable External SSD 1TB,Electronics,5,115.5,603.52
2025-01-11,Casual Canvas Sneakers,Fashion,6,57.75,362.45
2025-01-11,Casual Canvas Sneakers,Fashion,6,55.0,334.52
2025-01-12,Mechanical Keyboard,Electronics,2,58.5,120.63
2025-01-12,Slim Fit Denim Jeans,Fashion,1,40.5,40.27
2025-01-12,USB-C Fast Charger,Electronics,1,20.0,20.79
2025-01-12,Slim Fit Denim Jeans,Fashion,5,45.0,237.02
2025-01-13,Wireless Bluetooth Mouse,Electronics,4,25.0,102.06
2025-01-14,Portable External SSD 1TB,Electronics,1,110.0,116.25
2025-01-14,Mechanical Keyboard,Electronics,2,65.0,128.58
2025-01-14,Casual Canvas Sneakers,Fashion,4,49.5,201.99
2025-01-15,Wireless Bluetooth Mouse,Electronics,1,23.75,23.6
2025-01-15,Organic Green Tea Box,Groceries,2,10.8,21.46
2025-01-15,Noise-Cancelling Headphones,Electronics,4,120.0,482.84
2025-01-16,Premium Extra Virgin Olive Oil,Groceries,2,19.8,41.11
2025-01-16,Portable External SSD 1TB,Electronics,3,115.5,356.07
2025-01-16,Cotton Crewneck T-Shirt,Fashion,1,16.2,16.84
2025-01-17,Classic Leather Belt,Fashion,1,23.1,23.23
2025-01-17,Smart Fitness Watch,Electronics,1,89.25,92.71
2025-01-17,Air Fryer 4L,Home & Kitchen,2,95.0,190.96
2025-01-18,Non-Stick Frying Pan Set,Home & Kitchen,5,36.0,176.99
2025-01-18,Wireless Bluetooth Mouse,Electronics,3,23.75,76.86
2025-01-19,Air Fryer 4L,Home & Kitchen,3,99.75,316.33
2025-01-20,Portable External SSD 1TB,Electronics,4,99.0,429.09
2025-01-20,Casual Canvas Sneakers,Fashion,1,57.75,57.88
2025-01-20,Automatic Drip Coffee Maker,Home & Kitchen,3,75.0,233.68
2025-01-21,Wireless Bluetooth Mouse,Electronics,5,22.5,111.19
2025-01-21,Casual Canvas Sneakers,Fashion,2,57.75,122.59
2025-01-22,Wireless Bluetooth Mouse,Electronics,1,23.75,24.86
2025-01-22,Automatic Drip Coffee Maker,Home & Kitchen,4,75.0,308.37
2025-01-22,USB-C Fast Charger,Electronics,2,18.0,36.96
2025-01-23,Premium Extra Virgin Olive Oil,Groceries,2,20.9,45.3
2025-01-23,Mechanical Keyboard,Electronics,3,65.0,209.73
2025-01-23,Casual Canvas Sneakers,Fashion,2,49.5,102.14
2025-01-24,Premium Extra Virgin Olive Oil,Groceries,2,22.0,45.33
2025-01-25,Portable External SSD 1TB,Electronics,3,110.0,358.44
2025-01-26,Almonds & Cashews Trail Mix,Groceries,1,14.0,14.23
2025-01-26,Stainless Steel Water Bottle,Home & Kitchen,1,15.0,16.11
2025-01-26,Non-Stick Frying Pan Set,Home & Kitchen,1,42.0,42.73
2025-01-27,Organic Roasted Coffee Beans,Groceries,2,14.4,31.66
2025-01-28,Stainless Steel Water Bottle,Home & Kitchen,3,15.0,46.61
2025-01-28,Automatic Drip Coffee Maker,Home & Kitchen,2,75.0,160.9
2025-01-29,Non-Stick Frying Pan Set,Home & Kitchen,1,38.0,39.85
2025-01-30,Non-Stick Frying Pan Set,Home & Kitchen,4,38.0,161.0
2025-01-30,Cotton Crewneck T-Shirt,Fashion,3,18.9,59.0
2025-01-30,Casual Canvas Sneakers,Fashion,2,52.25,105.3
2025-01-31,Organic Roasted Coffee Beans,Groceries,4,16.8,69.06
2025-02-01,Organic Green Tea Box,Groceries,3,10.8,35.76
2025-02-01,Noise-Cancelling Headphones,Electronics,3,126.0,400.01
2025-02-01,Cotton Crewneck T-Shirt,Fashion,5,18.0,97.18
2025-02-01,Non-Stick Frying Pan Set,Home & Kitchen,6,42.0,266.18
2025-02-02,Almonds & Cashews Trail Mix,Groceries,3,14.0,45.88
2025-02-02,Premium Extra Virgin Olive Oil,Groceries,4,22.0,91.15
2025-02-03,Stainless Steel Water Bottle,Home & Kitchen,2,15.0,32.6
2025-02-03,Cotton Crewneck T-Shirt,Fashion,4,18.9,80.31
2025-02-04,Classic Leather Belt,Fashion,5,23.1,128.86
2025-02-05,Organic Green Tea Box,Groceries,1,12.0,13.17
